Model,R2 Score,RMSE
Decision Tree,0.7874958826137589,1178306.887011
Random Forest,0.8787093671963689,890201.603899307
AdaBoost,0.7791007776414344,1201356.3132582486
Voting Regressor,0.8630295735889438,945993.4848461136
