latitude,longitude,location_area,number_of_rooms,area,rent,floor,has_elevator,has_fireplace,has_outside,sold_price,adress
59.33234546,18.01623429,Kristineberg,1.5,39,"2,826",3,yes,,,3562500,Thorildsvägen 5
59.3108931,18.0643128,Södermalm,3,80,"2,186",3,yes,no,yes,8700000,Tideliusgatan 13
59.31045487,18.06481142,Södermalm,3,80,"2,186",1,yes,no,yes,8260000,Tideliusgatan 15
59.31096109,18.06471547,Södermalm,3,80,"2,186",1,yes,,,7695000,Tideliusgatan 17
59.31096109,18.06471547,Södermalm,2.5,72,"1,822",,yes,no,no,5800000,Tideliusgatan 17
59.31045487,18.06481142,Södermalm,1,47,"1,230",0,yes,,,3425000,Tideliusgatan 33
59.31045487,18.06481142,Södermalm,1,47,"1,230",,yes,no,no,3500000,Tideliusgatan 33
59.3109217,18.06444921,Södermalm,3,80,"2,186",4,yes,,,7800000,Tideliusgatan 35
59.3103677,18.0644125,Södermalm,2,64,"1,741",3,yes,no,yes,6080000,Tideliusgatan 37
59.30957081,18.06457363,Södermalm,1.5,36,"1,705",1,no,,,3295000,Tideliusgatan 61
59.30957081,18.06457363,Södermalm,2,64,"2,994",5,yes,no,yes,5495000,Tideliusgatan 61
59.30957081,18.06457363,Södermalm,2,64,"2,994",5,yes,no,,5695000,Tideliusgatan 61
59.30966025,18.06527614,Södermalm,1,42,"1,733",0,yes,no,,3250000,Tideliusgatan 65
59.31114905,18.06445084,Södermalm,2,60,"3,584",1,yes,no,yes,5200000,Tideliusgränd 5
59.31115489,18.06449379,Södermalm,3,77,"4,293",3,yes,,yes,8075000,Tideliusgränd 7
59.31121537,18.06493507,Södermalm,3,77,"4,293",1,yes,,yes,7850000,Tideliusgränd 9
59.31121537,18.06493507,Södermalm,2,49,"3,098",2,yes,no,yes,4905000,Tideliusgränd 9
59.31121537,18.06493507,Södermalm,2,48,"3,061",3,yes,no,yes,4700000,Tideliusgränd 9
59.31898361,18.05977139,Södermalm,3,94,"4,444",2,yes,yes,,11600000,Timmermansgatan 13
59.31876916,18.05987743,Södermalm,3,83,"1,750",4,yes,no,yes,11200000,Timmermansgatan 15
59.32032788,18.05889616,Södermalm,3,106,"5,595",3,yes,yes,no,16300000,Timmermansgatan 2A
59.32032788,18.05889616,Södermalm,2,83,"4,584",5,yes,no,yes,11250000,Timmermansgatan 2A
59.32032788,18.05889616,Södermalm,3,76,"4,013",,yes,yes,no,9075000,Timmermansgatan 2A
59.32015803,18.05897834,Södermalm,1,44,"2,318",1,yes,yes,no,4870000,Timmermansgatan 2B
59.32015803,18.05897834,Södermalm,3,67,"3,416",3,no,yes,,8300000,Timmermansgatan 2B
59.3153701,18.06165956,Södermalm,3,96,"4,955",3,yes,no,yes,11000000,Timmermansgatan 35
59.3153701,18.06165956,Södermalm,2,80,"4,360",5,yes,,yes,11300000,Timmermansgatan 35
59.31494703,18.06185986,Södermalm,1,37,"2,135",1,yes,no,no,3830000,Timmermansgatan 37
59.31494703,18.06185986,Södermalm,2,51,"2,857",1,yes,,,4500000,Timmermansgatan 37
59.31494703,18.06185986,Södermalm,2,35,"2,010",2,yes,no,no,3850000,Timmermansgatan 37
59.31494703,18.06185986,Södermalm,2,35,,3,no,,,4000000,Timmermansgatan 37
59.31494703,18.06185986,Södermalm,2,33,"1,843",4,yes,no,no,3500000,Timmermansgatan 37
59.31494703,18.06185986,Södermalm,2,37,"2,255",6,yes,no,no,4425000,Timmermansgatan 37
59.31494703,18.06185986,Södermalm,3,75,"4,572",6,yes,yes,yes,11750000,Timmermansgatan 37
59.31545413,18.06125446,Södermalm,2,34,"2,576",1,yes,no,no,3420000,Timmermansgatan 38B
59.31545413,18.06125446,Södermalm,2,35,"2,624",1,yes,,,3650000,Timmermansgatan 38B
59.31545413,18.06125446,Södermalm,2,51,"3,216",3,yes,,yes,6050000,Timmermansgatan 38B
59.31545413,18.06125446,Södermalm,1.5,33,"2,436",4,yes,,yes,4000000,Timmermansgatan 38B
59.31443563,18.0621072,Södermalm,2,35.8,"2,006",0.5,no,no,no,3550000,Timmermansgatan 41
59.31443563,18.0621072,Södermalm,2,60,"3,482",2,no,no,yes,6500000,Timmermansgatan 41
59.31443563,18.0621072,Södermalm,3,81.2,"4,661",3,,no,yes,8210000,Timmermansgatan 41
59.31443563,18.0621072,Södermalm,2,59.5,,,no,yes,no,6500000,Timmermansgatan 41
59.31482586,18.06155852,Södermalm,3,66,"3,748",0.5,yes,,yes,6000000,Timmermansgatan 44
59.31482586,18.06155852,Södermalm,1,26,"1,747",4,yes,no,yes,3200000,Timmermansgatan 44
59.31235273,18.06275467,Södermalm,3,73,"4,209",5,yes,,yes,7150000,Timmermansgränd 1
